duration,protocol_type,service,flag,src_bytes,dst_bytes,logged_in,count,same_srv_rate,serror_rate,srv_serror_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_srv_count,label
0,icmp,eco_i,SF,18,0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,16,Probe
0,tcp,http,SF,233,616,1,3,1.0,0.0,0.0,0.0,0.02,0.03,255,Normal
0,tcp,http,SF,343,1178,1,9,1.0,0.0,0.0,0.0,0.01,0.04,255,Normal
0,tcp,mtp,S0,0,0,0,223,0.1,1.0,1.0,0.05,0.0,0.0,23,DoS
0,tcp,private,S0,0,0,0,280,0.06,1.0,1.0,0.06,0.0,0.0,17,DoS
0,tcp,http,SF,253,11905,1,8,1.0,0.0,0.0,0.0,0.01,0.02,255,Normal
5607,udp,other,SF,147,105,0,1,1.0,0.0,0.0,0.85,1.0,0.0,1,Normal
0,tcp,mtp,S0,0,0,0,248,0.01,1.0,1.0,0.06,0.0,0.0,2,DoS
507,tcp,telnet,SF,437,14421,1,1,1.0,0.0,0.0,0.05,0.0,0.0,25,Normal
0,tcp,private,S0,0,0,0,279,0.03,1.0,1.0,0.07,0.0,0.0,13,DoS
0,tcp,http,SF,227,6588,1,5,1.0,0.0,0.0,0.0,0.02,0.14,255,Normal
0,tcp,http,SF,215,10499,1,14,1.0,0.0,0.0,0.0,0.0,0.0,255,Normal
0,tcp,http,SF,241,1400,1,33,1.0,0.0,0.0,0.0,0.0,0.0,255,Normal
0,icmp,eco_i,SF,8,0,0,1,1.0,0.0,0.0,0.0,1.0,0.51,53,Probe
0,tcp,finger,S0,0,0,0,57,0.28,1.0,1.0,0.04,0.01,0.0,59,DoS
0,tcp,http,SF,303,555,1,9,1.0,0.0,0.0,0.0,0.11,0.01,255,Normal
0,tcp,private,REJ,0,0,0,2,0.5,0.0,0.0,0.31,0.28,0.0,1,Probe
0,udp,domain_u,SF,45,45,0,181,1.0,0.0,0.0,0.01,0.0,0.0,250,Normal
1,udp,private,SF,105,147,0,2,1.0,0.0,0.0,0.05,0.05,0.0,5,Normal
0,udp,domain_u,SF,43,43,0,122,1.0,0.0,0.0,0.0,0.01,0.0,255,Normal
0,tcp,supdup,S0,0,0,0,205,0.08,1.0,1.0,0.07,0.0,0.0,17,DoS
0,tcp,http,SF,324,2302,1,22,1.0,0.0,0.0,0.0,0.0,0.0,255,Normal
0,tcp,uucp_path,S0,0,0,0,228,0.06,1.0,1.0,0.07,0.0,0.0,13,DoS
0,tcp,ftp_data,S0,0,0,0,50,0.22,1.0,1.0,0.02,0.01,0.0,63,DoS
0,tcp,Z39_50,S0,0,0,0,262,0.05,1.0,1.0,0.07,0.0,0.0,9,DoS
2,tcp,smtp,SF,1591,372,1,1,1.0,0.0,0.0,0.02,0.01,0.0,147,Normal
9052,udp,other,SF,146,105,0,4,0.5,0.0,0.0,0.66,0.99,0.0,2,Normal
0,tcp,http,SF,290,3006,1,11,1.0,0.0,0.0,0.0,0.0,0.0,255,Normal
0,tcp,csnet_ns,S0,0,0,0,108,0.1,1.0,1.0,0.07,0.0,0.0,11,DoS
0,udp,private,SF,28,0,0,80,1.0,0.0,0.0,0.02,0.31,0.0,80,DoS
0,tcp,http,SF,255,861,1,44,1.0,0.02,0.02,0.0,0.0,0.0,255,Normal
0,tcp,ftp_data,SF,334,0,1,2,1.0,0.0,0.0,0.0,1.0,0.18,38,R2L
0,tcp,ftp_data,S0,0,0,0,258,0.07,1.0,1.0,0.07,0.0,0.0,5,DoS
0,tcp,http,SF,302,498,1,10,1.0,0.0,0.0,0.0,0.01,0.04,255,Normal
0,tcp,private,REJ,0,0,0,61,0.07,0.0,0.0,0.08,0.0,0.0,4,DoS
0,udp,private,SF,28,0,0,2,1.0,0.0,0.0,0.02,0.01,0.0,2,DoS
0,tcp,http,SF,220,1398,1,26,1.0,0.0,0.0,0.0,0.04,0.03,255,Normal
0,udp,domain_u,SF,43,69,0,120,1.0,0.0,0.0,0.01,0.01,0.0,245,Normal
0,udp,domain_u,SF,44,133,0,73,1.0,0.0,0.0,0.02,0.88,0.01,212,Normal
0,icmp,eco_i,SF,8,0,0,1,1.0,0.0,0.0,0.0,1.0,0.26,46,Probe
0,tcp,uucp,S0,0,0,0,135,0.07,1.0,1.0,0.07,0.0,0.0,11,DoS
0,tcp,finger,S0,0,0,0,24,0.5,1.0,1.0,0.04,0.0,0.0,59,DoS
0,udp,domain_u,SF,43,43,0,148,1.0,0.0,0.0,0.0,0.01,0.0,255,Normal
0,tcp,ftp_data,SF,641,0,1,2,1.0,0.0,0.0,0.02,0.25,0.04,48,Normal
0,tcp,private,REJ,0,0,0,206,0.02,0.0,0.0,0.08,0.0,0.0,4,DoS
0,tcp,private,REJ,0,0,0,175,0.01,0.1,0.0,0.84,0.0,0.0,1,Probe
0,tcp,http,SF,310,2794,1,4,1.0,0.0,0.0,0.0,0.0,0.0,255,Normal
0,tcp,private,REJ,0,0,0,63,0.16,0.0,0.0,0.07,0.0,0.0,10,DoS
0,tcp,smtp,SF,696,333,1,1,1.0,0.0,0.0,0.04,0.01,0.02,133,Normal
0,tcp,netbios_dgm,RSTR,0,0,0,1,1.0,0.0,0.0,0.58,0.58,0.0,1,Probe
0,tcp,http,S0,0,0,0,52,0.37,1.0,1.0,0.02,0.0,0.0,67,DoS
0,tcp,netbios_dgm,REJ,0,0,0,125,0.06,0.0,0.0,0.07,0.0,0.0,6,DoS
0,tcp,supdup,S0,0,0,0,168,0.12,1.0,1.0,0.06,0.0,0.0,21,DoS
0,tcp,http,SF,221,2878,1,1,1.0,0.0,0.0,0.0,0.05,0.03,58,Normal
0,tcp,private,S0,0,0,0,145,0.11,1.0,1.0,0.05,0.0,0.0,31,DoS
0,icmp,urp_i,SF,181,0,0,3,0.67,0.0,0.0,0.01,0.46,0.0,93,Normal
0,udp,domain_u,SF,42,42,0,9,1.0,0.0,0.0,0.02,0.01,0.0,83,Normal
0,tcp,private,S0,0,0,0,138,0.04,1.0,1.0,0.07,0.0,0.0,6,DoS
0,tcp,ftp_data,SF,12,0,1,1,1.0,0.0,0.0,0.07,0.55,0.04,47,Normal
0,tcp,auth,S0,0,0,0,276,0.03,1.0,1.0,0.06,0.0,0.0,9,DoS
0,tcp,http,SF,210,2790,1,10,1.0,0.0,0.0,0.0,0.02,0.09,255,Normal
0,tcp,http,SF,321,5683,1,10,1.0,0.0,0.0,0.0,0.01,0.04,255,Normal
0,tcp,private,REJ,0,0,0,248,0.03,0.0,0.0,0.07,0.0,0.0,8,DoS
0,tcp,http,SF,329,3982,1,2,1.0,0.0,0.0,0.0,0.04,0.05,255,Normal
0,tcp,uucp_path,REJ,0,0,0,135,0.05,0.0,0.0,0.07,0.0,0.0,7,DoS
0,tcp,domain,S0,0,0,0,220,0.09,1.0,1.0,0.07,0.0,0.0,2,DoS
0,icmp,eco_i,SF,8,0,0,1,1.0,0.0,0.0,0.0,1.0,0.51,95,Probe
0,tcp,http,SF,320,379,1,9,1.0,0.0,0.0,0.0,0.01,0.02,255,Normal
0,tcp,private,S0,0,0,0,212,0.03,1.0,1.0,0.11,0.01,0.0,7,DoS
0,tcp,http,SF,225,3762,1,10,1.0,0.0,0.0,0.0,0.0,0.0,255,Normal
0,tcp,ftp,S0,0,0,0,250,0.05,1.0,1.0,0.07,0.0,0.0,1,DoS
0,tcp,private,REJ,0,0,0,132,0.11,0.0,0.0,0.06,0.0,0.0,15,DoS
315,udp,other,SF,146,105,0,3,0.67,0.0,0.0,0.54,0.78,0.0,2,Normal
0,tcp,http,SF,247,1416,1,11,1.0,0.0,0.0,0.0,0.01,0.09,255,Normal
0,tcp,http,SF,353,1483,1,3,1.0,0.0,0.0,0.0,0.0,0.0,255,Normal
0,udp,domain_u,SF,44,44,0,109,0.99,0.0,0.0,0.01,0.01,0.0,254,Normal
0,tcp,private,REJ,0,0,0,146,0.12,0.0,0.0,0.08,0.0,0.0,10,DoS
0,tcp,csnet_ns,S0,0,0,0,300,0.02,1.0,1.0,0.07,0.0,0.0,3,DoS
2,tcp,smtp,SF,3065,331,1,1,1.0,0.0,0.0,0.02,0.0,0.02,119,Normal
0,udp,other,SF,102,102,0,1,1.0,0.0,0.0,0.29,0.14,0.0,1,Normal
0,tcp,http,SF,259,750,1,4,1.0,0.0,0.0,0.0,0.25,0.03,255,Normal
1082,udp,other,SF,147,105,0,2,1.0,0.0,0.0,0.42,0.86,0.0,2,Normal
0,tcp,private,S0,0,0,0,129,0.12,1.0,1.0,0.05,0.0,0.0,12,DoS
0,tcp,http,SF,0,354,0,32,1.0,0.03,0.03,0.0,0.0,0.0,255,Normal
0,tcp,http,SF,309,306,1,1,1.0,0.0,0.0,0.0,0.02,0.02,255,Normal
0,tcp,http,REJ,0,0,0,1,1.0,0.0,0.0,0.0,1.0,0.15,247,Normal
0,tcp,http,SF,278,7227,1,3,1.0,0.0,0.0,0.0,0.01,0.05,255,Normal
0,udp,private,SF,28,0,0,82,1.0,0.0,0.0,0.29,0.71,0.0,182,DoS
0,tcp,http,SF,313,761,1,1,1.0,0.0,0.0,0.0,0.02,0.03,255,Normal
0,tcp,http,SF,219,1212,1,15,1.0,0.0,0.0,0.0,0.0,0.01,255,Normal
0,tcp,http,SF,245,9165,1,2,1.0,0.0,0.0,0.0,0.1,0.05,255,Normal
0,tcp,http,SF,328,2243,1,21,1.0,0.0,0.0,0.0,0.05,0.04,255,Normal
0,tcp,http,REJ,0,0,0,1,1.0,0.0,0.0,0.0,0.04,0.1,249,Normal
0,tcp,http,SF,251,301,1,3,1.0,0.0,0.0,0.01,0.0,0.0,252,Normal
0,tcp,smtp,SF,2089,335,1,2,0.5,0.0,0.0,0.03,0.0,0.0,152,Normal
0,tcp,http,REJ,0,0,0,1,1.0,0.0,0.0,0.0,0.17,0.21,255,Normal
0,tcp,http,SF,237,511,1,1,1.0,0.0,0.0,0.0,0.33,0.01,255,Normal
0,tcp,http,SF,324,431,1,4,1.0,0.0,0.0,0.0,0.01,0.02,255,Normal
25950,tcp,private,RSTR,1,0,0,2,1.0,0.0,0.0,0.69,1.0,0.0,2,Probe
0,tcp,Z39_50,REJ,0,0,0,110,0.15,0.0,0.0,0.07,0.0,0.0,17,DoS
0,udp,private,SF,105,145,0,4,0.25,0.0,0.0,0.01,0.0,0.0,239,Normal
0,tcp,http,SF,218,974,1,6,1.0,0.0,0.0,0.0,0.17,0.02,255,Normal
0,tcp,http,SF,325,2649,1,7,1.0,0.0,0.0,0.0,0.01,0.01,255,Normal
0,tcp,uucp_path,REJ,0,0,0,246,0.08,0.0,0.0,0.07,0.0,0.0,20,DoS
0,tcp,bgp,REJ,0,0,0,272,0.07,0.0,0.0,0.08,0.0,0.0,19,DoS
0,tcp,csnet_ns,S0,0,0,0,259,0.03,1.0,1.0,0.08,0.0,0.0,8,DoS
240,tcp,http,SF,328,275,1,9,1.0,0.0,0.0,0.01,0.0,0.0,250,Normal
0,tcp,bgp,S0,0,0,0,294,0.02,1.0,1.0,0.07,0.0,0.0,8,DoS
0,tcp,finger,SF,9,138,0,1,1.0,0.0,0.0,0.03,0.01,0.2,10,Normal
0,udp,domain_u,SF,46,46,0,96,1.0,0.0,0.0,0.01,0.01,0.0,254,Normal
1,tcp,smtp,SF,1079,334,1,1,1.0,0.0,0.0,0.03,0.01,0.01,167,Normal
0,udp,domain_u,SF,45,139,0,79,1.0,0.0,0.0,0.01,0.0,0.0,254,Normal
26,tcp,ftp,SF,273,903,1,1,1.0,0.0,0.0,0.02,0.01,0.0,49,Normal
0,tcp,private,S0,0,0,0,190,0.11,1.0,1.0,0.08,0.0,0.0,20,DoS
0,tcp,ldap,REJ,0,0,0,135,0.04,0.0,0.0,0.07,0.0,0.0,1,DoS
0,tcp,http,SF,237,138,1,2,1.0,0.0,0.0,0.0,0.5,0.0,2,Normal
0,tcp,http,SF,225,1357,1,1,1.0,0.0,0.0,0.0,0.2,0.02,255,Normal
0,tcp,private,S0,0,0,0,123,0.06,1.0,1.0,0.08,0.0,0.0,7,DoS
0,tcp,supdup,S0,0,0,0,245,0.08,1.0,1.0,0.07,0.0,0.0,7,DoS
0,udp,other,SF,147,0,0,3,0.33,0.0,0.0,0.61,0.97,0.0,1,Normal
0,tcp,http,SF,262,1011,1,3,1.0,0.0,0.0,0.0,0.02,0.01,255,Normal
0,icmp,ecr_i,SF,1032,0,0,263,1.0,0.0,0.0,0.0,1.0,0.0,255,DoS
0,tcp,private,S0,0,0,0,109,0.12,1.0,1.0,0.06,0.0,0.0,7,DoS
0,tcp,http,SF,261,8412,1,9,1.0,0.0,0.0,0.0,0.0,0.0,255,Normal
0,tcp,bgp,REJ,0,0,0,145,0.06,0.0,0.0,0.09,0.0,0.0,8,DoS
0,tcp,netbios_dgm,REJ,0,0,0,250,0.01,0.0,0.0,0.07,0.0,0.0,2,DoS
0,tcp,http,SF,294,1719,1,8,1.0,0.0,0.0,0.0,0.01,0.01,255,Normal
0,tcp,http,SF,221,981,1,2,1.0,0.0,0.0,0.0,0.02,0.04,82,Normal
0,tcp,http,SF,284,10352,1,2,1.0,0.0,0.0,0.0,0.09,0.07,255,Normal
0,tcp,gopher,SH,0,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,Probe
0,tcp,http,SF,309,16096,1,3,1.0,0.0,0.0,0.0,0.03,0.02,129,Normal
0,tcp,ftp_data,SF,334,0,1,2,1.0,0.0,0.0,0.0,1.0,0.19,26,R2L
0,tcp,telnet,S0,0,0,0,13,0.31,1.0,1.0,0.02,0.01,0.0,64,DoS
0,tcp,private,S0,0,0,0,87,0.01,1.0,1.0,0.06,0.0,0.0,1,DoS
0,tcp,http,SF,214,283,1,2,1.0,0.0,0.0,0.0,0.04,0.05,255,Normal
0,tcp,vmnet,S0,0,0,0,292,0.04,1.0,1.0,0.08,0.0,0.0,14,DoS
0,tcp,systat,S0,0,0,0,295,0.06,1.0,1.0,0.08,0.0,0.0,1,DoS
0,tcp,http_443,S0,0,0,0,143,0.1,1.0,1.0,0.05,0.0,0.0,15,DoS
0,udp,domain_u,SF,46,78,0,278,1.0,0.0,0.0,0.01,0.0,0.0,254,Normal
0,tcp,ftp_data,SF,748,0,1,1,1.0,0.0,0.0,0.33,0.83,0.03,92,Normal
0,tcp,efs,S0,0,0,0,102,0.19,1.0,1.0,0.06,0.0,0.0,18,DoS
0,icmp,eco_i,SF,8,0,0,1,1.0,0.0,0.0,0.0,1.0,0.53,15,Probe
0,tcp,whois,S0,0,0,0,251,0.01,1.0,1.0,0.08,0.0,0.0,3,DoS
0,tcp,http,SF,329,8437,1,4,1.0,0.0,0.0,0.0,0.01,0.04,255,Normal
0,tcp,ftp_data,SF,9,0,1,2,1.0,0.0,0.0,0.38,0.5,0.02,119,Normal
0,udp,domain_u,SF,46,128,0,222,1.0,0.0,0.0,0.01,0.0,0.0,253,Normal
0,tcp,ftp_data,SF,1766,0,1,2,1.0,0.0,0.0,0.02,0.02,0.0,6,Normal
0,tcp,remote_job,S0,0,0,0,260,0.02,1.0,1.0,0.07,0.0,0.0,4,DoS
9015,tcp,other,RSTR,1,0,0,2,1.0,0.0,0.0,0.74,1.0,0.0,2,Probe
7,tcp,finger,SF,8,135,0,1,1.0,0.0,0.0,0.03,0.01,0.33,6,Normal
0,tcp,http,SF,266,529,1,1,1.0,0.0,0.0,0.0,0.01,0.02,255,Normal
0,tcp,ftp_data,SF,245,0,0,3,0.67,0.0,0.0,0.06,0.32,0.03,68,Normal
0,tcp,http,SF,295,465,1,11,1.0,0.0,0.0,0.0,0.01,0.04,255,Normal
0,tcp,gopher,S0,0,0,0,44,0.27,1.0,1.0,0.08,0.0,0.0,12,DoS
0,tcp,http,SF,228,6834,1,2,1.0,0.0,0.0,0.0,0.06,0.11,19,Normal
0,icmp,ecr_i,SF,1032,0,0,511,1.0,0.0,0.0,0.02,0.83,0.0,212,DoS
0,tcp,imap4,REJ,0,0,0,272,0.06,0.0,0.0,0.07,0.0,0.0,15,DoS
0,tcp,private,S0,0,0,0,122,0.16,0.99,1.0,0.05,0.0,0.0,19,DoS
0,tcp,whois,S0,0,0,0,287,0.01,1.0,1.0,0.05,0.0,0.0,3,DoS
0,tcp,http,REJ,0,0,0,1,1.0,0.0,0.0,0.0,0.01,0.02,195,Normal
0,tcp,other,REJ,0,0,0,486,0.0,0.08,0.0,0.91,0.0,0.0,1,Probe
0,udp,other,SF,1,0,0,22,0.27,0.0,0.0,0.06,1.0,0.0,6,Probe
0,tcp,iso_tsap,S0,0,0,0,286,0.03,1.0,1.0,0.07,0.0,0.0,11,DoS
0,icmp,ecr_i,SF,30,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,247,Normal
1,tcp,smtp,SF,2078,333,1,1,1.0,0.0,0.0,0.03,0.01,0.02,117,Normal
0,tcp,ftp_data,SF,19,0,0,1,1.0,0.0,0.0,0.04,0.02,0.0,5,Normal
0,tcp,smtp,SF,661,329,1,1,1.0,0.0,0.0,0.02,0.01,0.03,69,Normal
0,udp,private,SF,28,0,0,35,0.97,0.0,0.0,0.02,0.13,0.0,34,DoS
0,tcp,ftp_data,S0,0,0,0,28,0.07,1.0,1.0,0.03,0.0,0.0,42,DoS
0,tcp,private,S0,0,0,0,108,0.17,1.0,1.0,0.07,0.0,0.0,18,DoS
0,tcp,private,S0,0,0,0,101,0.05,1.0,1.0,0.07,0.0,0.0,15,DoS
0,tcp,smtp,SF,1075,364,1,1,1.0,0.0,0.0,0.17,0.0,0.0,100,Normal
0,tcp,http,SF,223,656,1,12,1.0,0.0,0.0,0.0,0.01,0.02,255,Normal
15159,tcp,ftp,SF,350,1185,1,1,1.0,0.0,0.0,0.02,0.0,0.0,142,R2L
0,tcp,http,SF,233,2470,1,10,1.0,0.0,0.0,0.0,0.03,0.01,255,Normal
0,tcp,private,S0,0,0,0,223,0.04,1.0,1.0,0.05,0.0,0.0,9,DoS
0,tcp,echo,S0,0,0,0,223,0.08,1.0,1.0,0.06,0.0,0.0,17,DoS
0,tcp,http,SF,201,1938,1,19,1.0,0.0,0.0,0.0,0.02,0.03,255,Normal
0,tcp,http,SF,271,4781,1,4,1.0,0.0,0.0,0.0,0.09,0.25,28,Normal
0,tcp,ftp_data,SF,14416,0,1,1,1.0,0.0,0.0,0.02,0.19,0.04,50,Normal
0,tcp,http,SF,227,11564,1,5,1.0,0.0,0.0,0.0,0.02,0.04,52,Normal
0,tcp,private,REJ,0,0,0,406,0.0,0.0,0.0,0.52,1.0,0.0,1,Probe
0,tcp,http,SF,225,2445,1,4,1.0,0.0,0.0,0.0,0.0,0.0,255,Normal
0,tcp,http,SF,176,426,1,6,1.0,0.0,0.0,0.0,0.0,0.0,255,Normal
0,tcp,klogin,S0,0,0,0,143,0.1,1.0,1.0,0.06,0.0,0.0,14,DoS
0,tcp,http,SF,227,762,1,17,1.0,0.0,0.0,0.0,0.0,0.02,255,Normal
0,tcp,smtp,SF,855,575,1,1,1.0,0.0,0.0,0.02,0.0,0.0,20,Normal
0,tcp,smtp,SF,944,330,1,1,1.0,0.0,0.0,0.02,0.0,0.01,166,Normal
0,tcp,smtp,SF,954,326,1,2,0.5,0.0,0.0,0.11,0.04,0.02,104,Normal
0,tcp,uucp_path,S0,0,0,0,201,0.09,1.0,1.0,0.07,0.0,0.0,18,DoS
0,tcp,http,SF,166,34660,1,1,1.0,0.0,0.0,0.0,0.06,0.06,255,Normal
0,tcp,http,SF,306,2698,1,4,1.0,0.0,0.0,0.01,0.0,0.0,240,Normal
0,tcp,netbios_ns,S0,0,0,0,124,0.15,1.0,1.0,0.05,0.0,0.0,19,DoS
0,tcp,private,REJ,0,0,0,162,0.01,0.05,0.0,0.8,0.0,0.0,1,Probe
0,icmp,ecr_i,SF,1480,0,0,2,1.0,0.0,0.0,0.0,1.0,0.5,38,DoS
0,tcp,iso_tsap,S0,0,0,0,277,0.06,1.0,1.0,0.07,0.0,0.0,17,DoS
0,tcp,http,SF,313,8549,1,4,1.0,0.0,0.0,0.0,0.0,0.0,255,Normal
0,tcp,link,S0,0,0,0,274,0.08,1.0,1.0,0.05,0.0,0.0,22,DoS
0,tcp,sunrpc,S0,0,0,0,141,0.09,1.0,1.0,0.06,0.0,0.0,16,DoS
0,tcp,http,SF,285,6008,1,3,1.0,0.0,0.0,0.0,0.01,0.01,255,Normal
0,tcp,http,SF,226,1411,1,8,1.0,0.0,0.0,0.0,0.03,0.02,255,Normal
0,tcp,http,SF,256,12984,1,1,1.0,0.0,0.0,0.0,0.03,0.04,255,Normal
1,tcp,smtp,SF,3740,449,1,1,1.0,0.0,0.0,0.02,0.01,0.01,185,Normal
0,tcp,http,SF,224,449,1,10,1.0,0.1,0.09,0.0,0.03,0.04,255,Normal
0,tcp,login,S0,0,0,0,103,0.03,1.0,1.0,0.07,0.0,0.0,3,DoS
4,tcp,ftp_data,SF,832,0,1,1,1.0,0.0,0.0,0.0,1.0,0.18,28,R2L
0,tcp,finger,S0,0,0,0,246,0.08,1.0,1.0,0.07,0.0,0.0,20,DoS
0,icmp,eco_i,SF,8,0,0,1,1.0,0.0,0.0,0.0,1.0,0.56,25,Probe
0,tcp,http,SF,201,169,1,7,1.0,0.0,0.0,0.0,0.03,0.04,255,Normal
0,tcp,http,SF,285,304,1,32,1.0,0.0,0.0,0.0,0.01,0.03,255,Normal
0,tcp,kshell,S0,0,0,0,125,0.19,1.0,1.0,0.05,0.0,0.0,24,DoS
0,tcp,ftp_data,SF,7422,0,1,8,1.0,0.0,0.0,0.02,0.17,0.0,44,Normal
0,tcp,http,SF,198,12884,1,2,1.0,0.0,0.0,0.0,0.5,0.0,2,Normal
20,tcp,smtp,SF,2310,328,1,1,1.0,0.0,0.0,0.02,0.0,0.0,157,Normal
0,tcp,http,SF,331,955,1,6,1.0,0.0,0.0,0.0,0.03,0.01,255,Normal
0,icmp,urp_i,SF,65,0,0,9,0.22,0.0,0.0,0.01,0.06,0.0,16,Normal
0,udp,private,SF,28,0,0,4,1.0,0.0,0.0,0.01,0.28,0.0,71,DoS
0,udp,domain_u,SF,45,77,0,171,1.0,0.0,0.0,0.01,0.0,0.0,232,Normal
0,tcp,ftp,RSTO,0,0,0,250,0.01,0.0,0.0,0.07,0.0,0.0,3,DoS
0,tcp,auth,S0,0,0,0,238,0.03,1.0,1.0,0.07,0.0,0.0,7,DoS
0,tcp,kshell,S0,0,0,0,102,0.02,1.0,1.0,0.06,0.0,0.0,2,DoS
0,tcp,finger,SF,9,142,0,1,1.0,0.0,0.0,0.03,0.0,0.0,12,Normal
0,tcp,http,SF,283,912,1,2,1.0,0.0,0.0,0.0,0.01,0.03,255,Normal
0,tcp,http,SF,221,1789,1,2,1.0,0.5,0.1,0.0,0.01,0.02,255,Normal
0,icmp,eco_i,SF,18,0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,123,Probe
0,tcp,vmnet,S0,0,0,0,281,0.01,1.0,1.0,0.07,0.0,0.0,3,DoS
0,tcp,telnet,S0,0,0,0,30,0.07,1.0,1.0,0.03,0.0,0.0,52,DoS
0,tcp,ftp_data,S0,0,0,0,276,0.03,1.0,1.0,0.06,0.0,0.0,8,DoS
0,tcp,http,SF,302,1380,1,5,1.0,0.0,0.0,0.02,0.0,0.0,187,Normal
0,tcp,private,S0,0,0,0,163,0.06,1.0,1.0,0.1,0.0,0.0,9,DoS
0,icmp,eco_i,SF,8,0,0,1,1.0,0.0,0.0,0.0,1.0,0.5,60,Probe
0,tcp,private,S0,0,0,0,301,0.07,1.0,1.0,0.05,0.0,0.0,19,DoS
0,tcp,http,SF,355,870,1,28,1.0,0.0,0.0,0.0,0.0,0.0,255,Normal
0,icmp,eco_i,SF,8,0,0,1,1.0,0.0,0.0,0.0,1.0,0.51,63,Probe
18,tcp,telnet,SF,106,1468,0,1,1.0,0.0,0.0,0.04,0.01,0.0,1,Normal
0,tcp,http,SF,286,1423,1,16,1.0,0.0,0.0,0.0,0.02,0.05,255,Normal
9235,tcp,other,RSTR,1,0,0,2,1.0,0.0,0.0,0.74,1.0,0.0,2,Probe
0,tcp,sql_net,SH,0,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,Probe
0,icmp,ecr_i,SF,1032,0,0,46,1.0,0.0,0.0,0.02,0.18,0.0,46,DoS
0,tcp,http,SF,168,9551,1,1,1.0,0.0,0.0,0.0,0.01,0.01,255,Normal
0,tcp,http,SF,238,864,1,39,1.0,0.0,0.0,0.0,0.01,0.01,255,Normal
0,tcp,private,RSTR,0,0,0,1,1.0,0.0,0.0,0.38,0.36,0.0,1,Probe
0,tcp,http,SF,291,10369,1,6,1.0,0.0,0.0,0.0,0.08,0.05,255,Normal
0,tcp,vmnet,S0,0,0,0,211,0.1,1.0,1.0,0.05,0.0,0.0,22,DoS
0,tcp,smtp,SF,749,330,1,1,1.0,0.0,0.0,0.11,0.04,0.02,129,Normal
0,tcp,http,SF,198,6924,1,12,1.0,0.0,0.0,0.0,0.0,0.01,255,Normal
0,tcp,mtp,REJ,0,0,0,280,0.04,0.0,0.0,0.07,0.0,0.0,11,DoS
0,tcp,http,SF,167,709,1,1,1.0,0.0,0.0,0.0,0.2,0.02,255,Normal
0,tcp,http,SF,241,851,1,17,1.0,0.0,0.0,0.0,0.01,0.03,255,Normal
0,tcp,http,SF,337,3360,1,6,1.0,0.0,0.0,0.0,0.0,0.0,255,Normal
0,tcp,smtp,SF,729,328,1,1,1.0,0.0,0.0,0.04,0.01,0.01,156,Normal
0,icmp,eco_i,SF,8,0,0,1,1.0,0.0,0.0,0.0,1.0,0.51,111,Probe
0,tcp,csnet_ns,S0,0,0,0,201,0.0,1.0,1.0,0.07,0.0,0.0,4,DoS
0,tcp,http,SF,222,1483,1,3,1.0,0.0,0.0,0.0,0.01,0.0,255,Normal
